500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000
0.642,1.761,4.788,8.492,12.118,17.727,24.092,30.032,35.502,43.908,52.492,65.206,78.388,88.307,101.467,119.479,129.319,143.055,158.754,178.762,194.413,214.76,232.322,249.569,270.594,296.168,320.14,339.425,375.332,396.254,418.957,459.32,552.312,521.205,579.651,589.335,607.288,637.597,678.545,712.537,755.132,782.899,814.706,905.578,923.224,946.217,998.653,1074.91,1093.66,1138.89,1210.51,1187.45,1256.11,1312.68,1489.38,1606.61,1673.3,1523.13,1578.49,1618.17,1668.64,1717.75,1789.22,1838.47,1896.03,1997.82,2018,2054.65,2112.45,2191.75,2224.24,2288.48,2367.06,2435.88,2507.31,2563.34,2625.41,2708.91,2766.17,2868.52,2977.71,3056.25,3052.78,3164.39,3247.32,3234.68,3334.96,3441.12,3529.81,3626.18,3721.81,3722.92,3838.67,3904.05,4013.46,4044.3,4164.97,4263.86,4350.18,4444.11
0.528,2.287,4.173,7.336,11.971,16.137,22.089,28.828,34.823,43.726,54.306,67.446,76.458,86.561,100.864,122.353,128.761,143.513,156.582,176.514,191.003,215.248,240.392,258.815,276.983,305.12,326.568,345.9,375.25,406.02,430.323,458.589,485.933,515.686,544.662,581.117,612.442,644.24,677.566,713.658,753.927,791.54,825.98,869.304,907.153,946.533,966.354,1027.16,1076,1111.59,1151.81,1211.85,1263.14,1286.71,1355.88,1398,1462.69,1492.28,1541.4,1577.85,1670.15,1712.87,1772.39,1797.56,1848.83,1949.81,1999.93,2039.3,2089.37,2192.29,2219.41,2287.65,2351.89,2425.36,2514.92,2581.13,2654.74,2695.61,2747.39,2790.41,2881.46,3019.14,3054.9,3156.41,3232.6,3272.41,3360.63,3434.91,3627.67,4055.53,4072.69,4135.33,4266.97,4091.61,4048.63,4069.42,4189.88,4297.85,4374.06,4456.55
0.554,1.926,4.145,7.352,11.124,16.864,22.521,29.426,36.642,45.913,55.869,64.929,73.667,85.92,98.622,113.205,129.531,141.883,159.687,175.447,196.225,219.444,239.315,252.883,291.064,303.237,323.801,364.005,379.639,404.857,436.566,491.464,489.33,517.498,535.554,568.491,592.421,630.911,656.634,709.876,747.758,788.522,825.708,848.483,878.143,913.312,953.892,997.535,1067.13,1112.84,1126.82,1175.03,1249.88,1274.6,1351.28,1359.31,1443.61,1502.05,1542.33,1571.65,1670.33,1714.28,1771.32,1849.02,1915.97,1953.01,1978.85,2054.64,2108.01,2152.39,2245.22,2300.34,2333.03,2421.38,2519.09,2578.24,2635.27,2659.36,2799.85,2864.84,2926.86,3034.05,3106,3167.88,3198.29,3268.23,3331.74,3376.76,3527.52,3600.89,3658.92,3751.09,3811.54,4150.21,4079.33,4098.77,4131.07,4230.69,4290.79,4361.86
0.492,2.247,4.537,7.655,11.291,16.547,22.589,29.088,35.844,45.264,54.382,64.025,73.652,86.66,103.241,114.763,126.426,142.092,157.42,174.74,192.091,215.707,234.831,250.559,273.678,294.715,315.434,348.038,366.886,393.204,423.608,466.204,516.218,515.228,535.456,577.495,615.398,651.19,701.224,720.791,834.497,792.992,828.743,861.235,938.036,1025.03,1070.12,1020.1,1044.85,1086.98,1124.69,1176.49,1243.95,1275.53,1321.89,1373.08,1491.32,1508.1,1662.8,1628.42,1791.6,1864.58,1803.72,1848.66,1904.03,1940.05,2048.02,2079.88,2200.91,2124.17,2248.8,2263.61,2328.8,2482.75,2551,2569.95,2633.25,2656.33,2739.96,2792.96,2872.71,2989.26,3004.03,3066.89,3146.01,3190.35,3288.39,3358.74,3504.47,3587.56,3613.47,3712.36,3797.51,3838.7,3953.87,4045.66,4145.05,4241.78,4273.53,4366.35
0.486,1.929,4.374,7.488,11.264,16.399,22.403,29.071,35.905,45.386,54.198,65.937,75.585,87.292,100.966,114.91,129.238,144.732,158.724,173.214,190.471,212.578,239.624,257.859,274.2,296.093,315.94,345.968,377.402,405.344,429.904,454.945,470.752,512.573,543.347,581,610.869,640.448,676.344,718.494,740.983,765.95,819.952,858.991,894.524,979.132,996.306,1038.59,1111.2,1116.75,1155.3,1196.63,1238.14,1291.4,1343.47,1393.51,1460.8,1473.53,1531.61,1591.66,1662.33,1714.37,1803.01,1824.62,1880.29,1948.66,2008.08,2008.19,2072.53,2185.69,2235.51,2283.31,2367.86,2434.85,2487.72,2563.69,2614.27,2705.89,2754,2842.9,2904.55,3003.88,3053.91,3128.21,3179.76,3252.89,3347.87,3446.84,3496.43,3620.85,3715.98,3732.62,3811.5,3953.19,3974.53,4076.45,4183.52,4192.37,4345.21,6472.42
0.578,2.241,5.369,9.021,15.932,15.981,21.787,28.352,35.132,44.581,87.531,64.606,75.377,87.047,98.925,112.871,129.61,145.384,162.312,179.355,192.89,213.191,234.822,253.418,270.895,298.758,318.974,347.738,369.734,397.123,424.46,455.253,497.371,555.457,640.798,663.057,707.446,717.39,706.345,695.97,739.208,774.413,805.686,850.834,892.257,918.528,972.232,1005.29,1046.6,1088.67,1126.74,1176.83,1237.01,1275.58,1330.9,1363.66,1417.54,1484.65,1508.05,1564.81,1621.65,1658.93,1728.65,1803.54,1862.47,1893.98,1964.44,1998.73,2061.13,2154.73,2185.45,2270.57,2314.92,2367.48,2441.01,2519.73,2601.8,2642.47,2716.56,2799.19,2852.84,2965.88,3004.6,3072.53,3144.29,3190.78,3272.37,3354.6,3444.58,3538.55,3624.46,3679.46,3783.23,3853.75,3941.15,3983.61,4102.6,4244.77,4238.35,4343.22
0.531,2.297,4.197,7.414,12.624,16.506,22.381,29.115,35.958,45.346,54.255,65.547,75.503,87.855,101.702,115.112,129.281,144.727,160.426,178.211,191.374,217.649,239.446,258.115,277.378,304.934,325.767,350.808,376.004,403.824,416.284,457.633,478.358,512.761,539.93,580.373,614.697,651.493,700.138,724.26,835.734,805.982,833.118,864.206,892.977,939.589,983.979,1026.38,1077.61,1107.7,1160.49,1194.25,1248.15,1296.9,1331.74,1393.97,1456.41,1494.12,1542.61,1604.62,1649.61,1695.47,1780.02,1810.15,1882.6,1936.21,2009.69,2044.2,2113.86,2185.13,2250.2,2317.4,2376.92,2437.02,2503.84,2576.31,2648.17,2694.9,2760.06,2846.03,2910.64,3017.03,3058.88,3128.26,3199.68,3286.54,3342.16,3449.52,3527.14,3594.25,3680.19,3738.4,3844.28,3922.42,3999.78,4086.01,4204.01,4275.06,4364.95,4451.8
0.617,1.817,4.161,7.548,11.817,16.623,22.086,29.325,34.824,45.156,54.162,65.409,74.517,85.071,99.772,115.629,131.105,144.786,162.274,179.844,193.322,212.608,232.461,250.939,268.625,312.328,315.703,340.964,367.7,400.328,430.929,449.049,476.255,500.936,532.175,566.994,605.136,635.608,677.419,694.403,743.724,791.121,815.142,843.698,889.996,915.329,969.332,1013.08,1061.17,1098.76,1131.56,1200.35,1248,1280.14,1321,1384.18,1437.65,1484.91,1525.01,1575.48,1625.62,1689.35,1741.26,1790.44,1865.41,1921.38,1968.53,2018.15,2083.91,2162.72,2226.41,2282.87,2352.15,2416.94,2477.14,2541.45,2626.19,2678.17,2715.85,2781.02,2849.72,2970.38,3026.44,3104.29,3156.34,3210.78,3317.33,3379.21,3491.76,3545.84,3643.79,3700.53,3802.74,3871.87,3986.54,4056.88,4134.96,4228.13,4316.9,4372.52
0.503,1.928,4.425,8.204,11.996,16.593,22.219,29.127,36.084,45.274,53.837,65.486,75.432,87.699,101.279,115.408,129.937,145.218,162.047,179.86,198.085,218.094,240.781,257.801,276.504,303.703,325.439,350.922,377.024,405.511,429.688,449.615,473.651,525.824,528.959,565.271,591.898,625.897,661.453,690.364,733.937,775.459,806.653,849.48,886.83,928.859,956.401,1008.93,1059.39,1087.2,1128.1,1180.01,1241.15,1272.81,1310.06,1352.72,1416.68,1455.43,1513.93,1570.64,1617.41,1672.33,1739.2,1787.34,1838.26,1894.74,1969.32,2001.36,2081.99,2131.91,2194.15,2263.52,2345.84,2366.18,2455.78,2513.8,2579.15,2653.32,2712.48,2780.86,2858.8,2960.42,3002.09,3430.39,3619.28,3579.7,3481.15,3483.22,4191.65,3810.88,3992.53,5133.41,4900.27,4083.56,4623.57,5033.27,5516.34,4741.99,4899.93,4681.47
0.866,3.226,7.591,12.699,19.197,24.194,26.689,28.569,34.857,43.591,52.058,62.945,72.789,86.373,100.787,114.127,125.291,140.472,156.392,174.263,197.188,216.485,232.562,250.467,269.176,295.598,316.312,340.588,366.928,393.557,417.398,445.038,471.448,512.392,532.118,563.619,592.185,624.132,667.015,692.576,736.037,773.166,801.326,861.34,888.18,924.395,962.723,1008.51,1058.88,1089.81,1137.84,1179.16,1225.19,1267.73,1337.91,1367.84,1418.88,1464.47,1531.08,1559.29,1619.67,1671.73,1737.39,1780.12,1841.57,1894.58,1968.53,2015.16,2061.6,2143.43,2197.02,2254.18,2321.37,2385.07,2451.75,2515.85,2585.16,2654.74,2700.8,2801.33,2875.38,2967.37,3039.81,3082.26,3176.29,3216.29,3273.42,3373.74,3454.17,3540.61,3637.84,3671.76,3749.96,3868.58,3945.25,4014.3,4093.13,4192.55,4265.28,4368.74
